Invoice,InvoiceDate,Customer ID,basket_size,frequency,customer_segment
566184,2011-09-09 13:01:00,16723.0,1,1,One-time
566186,2011-09-09 13:02:00,16603.0,23,2,Occasional
566188,2011-09-09 13:14:00,14312.0,9,2,Occasional
566189,2011-09-09 13:19:00,17800.0,12,3,Occasional
566190,2011-09-09 13:20:00,12748.0,36,79,Frequent
566191,2011-09-09 13:26:00,14388.0,24,3,Occasional
566192,2011-09-09 13:34:00,14915.0,4,1,One-time
566193,2011-09-09 13:37:00,14961.0,55,3,Occasional
566194,2011-09-09 13:42:00,14711.0,51,3,Occasional
566195,2011-09-09 13:44:00,12433.0,81,5,Frequent
566196,2011-09-09 13:47:00,14180.0,4,4,Frequent
566198,2011-09-09 13:58:00,18109.0,25,9,Frequent
566199,2011-09-09 14:12:00,14824.0,15,4,Frequent
566200,2011-09-09 14:14:00,16910.0,52,8,Frequent
566201,2011-09-09 14:18:00,15189.0,1,9,Frequent
566202,2011-09-09 14:22:00,15652.0,21,1,One-time
566203,2011-09-09 14:47:00,16362.0,34,5,Frequent
566204,2011-09-09 14:58:00,14628.0,12,1,One-time
566206,2011-09-09 15:00:00,16362.0,3,5,Frequent
566207,2011-09-09 15:02:00,12830.0,9,2,Occasional
566208,2011-09-09 15:03:00,16362.0,2,5,Frequent
566213,2011-09-09 15:09:00,14895.0,74,10,Frequent
566214,2011-09-09 15:10:00,14895.0,1,10,Frequent
566215,2011-09-09 15:11:00,14895.0,5,10,Frequent
566217,2011-09-09 15:17:00,14096.0,34,15,Frequent
566218,2011-09-09 15:25:00,13079.0,1,4,Frequent
566219,2011-09-09 15:51:00,17426.0,57,3,Occasional
566220,2011-09-09 15:53:00,15251.0,25,4,Frequent
566225,2011-09-11 10:35:00,16899.0,10,3,Occasional
566226,2011-09-11 10:39:00,15605.0,11,2,Occasional
566227,2011-09-11 10:42:00,14258.0,16,2,Occasional
566228,2011-09-11 10:52:00,13408.0,5,21,Frequent
566229,2011-09-11 10:53:00,13408.0,5,21,Frequent
566230,2011-09-11 10:57:00,15159.0,23,12,Frequent
566231,2011-09-11 10:58:00,14837.0,18,1,One-time
566232,2011-09-11 10:58:00,15159.0,6,12,Frequent
566233,2011-09-11 11:04:00,12635.0,61,1,One-time
566234,2011-09-11 11:08:00,15035.0,27,1,One-time
566235,2011-09-11 11:17:00,15636.0,17,1,One-time
566236,2011-09-11 11:19:00,16384.0,9,1,One-time
566237,2011-09-11 11:24:00,13742.0,8,2,Occasional
566238,2011-09-11 11:24:00,17377.0,21,11,Frequent
566239,2011-09-11 11:26:00,14665.0,24,2,Occasional
566240,2011-09-11 11:29:00,14508.0,24,2,Occasional
566241,2011-09-11 11:30:00,15939.0,2,1,One-time
566242,2011-09-11 11:56:00,15502.0,8,7,Frequent
566243,2011-09-11 11:57:00,15502.0,1,7,Frequent
566244,2011-09-11 11:58:00,15502.0,5,7,Frequent
566245,2011-09-11 11:59:00,13426.0,11,5,Frequent
566246,2011-09-11 12:00:00,13941.0,8,2,Occasional
566247,2011-09-11 12:03:00,16107.0,3,4,Frequent
566248,2011-09-11 12:06:00,13272.0,8,2,Occasional
566249,2011-09-11 12:09:00,13527.0,45,3,Occasional
566250,2011-09-11 12:10:00,15587.0,2,2,Occasional
566251,2011-09-11 12:13:00,12841.0,21,8,Frequent
566253,2011-09-11 12:15:00,13527.0,1,3,Occasional
566254,2011-09-11 12:16:00,13993.0,10,3,Occasional
566255,2011-09-11 12:23:00,13324.0,18,3,Occasional
566256,2011-09-11 12:27:00,12680.0,7,3,Occasional
566257,2011-09-11 12:34:00,13324.0,9,3,Occasional
566258,2011-09-11 12:45:00,13124.0,79,1,One-time
566259,2011-09-11 12:45:00,17317.0,7,3,Occasional
566260,2011-09-11 12:45:00,14212.0,9,1,One-time
566261,2011-09-11 12:46:00,13372.0,23,1,One-time
566262,2011-09-11 12:56:00,15527.0,20,3,Occasional
566264,2011-09-11 13:07:00,14606.0,25,22,Frequent
566265,2011-09-11 13:16:00,18255.0,6,1,One-time
566266,2011-09-11 13:22:00,17299.0,26,2,Occasional
566267,2011-09-11 13:32:00,12647.0,19,3,Occasional
566268,2011-09-11 13:38:00,13813.0,15,3,Occasional
566269,2011-09-11 13:39:00,17864.0,48,2,Occasional
566270,2011-09-11 13:40:00,16523.0,32,8,Frequent
566271,2011-09-11 13:44:00,14250.0,74,3,Occasional
566272,2011-09-11 13:51:00,14487.0,39,5,Frequent
566273,2011-09-11 13:56:00,14720.0,13,2,Occasional
566274,2011-09-11 13:58:00,13884.0,36,2,Occasional
566275,2011-09-11 13:58:00,16549.0,72,8,Frequent
566276,2011-09-11 14:00:00,13450.0,19,2,Occasional
566277,2011-09-11 14:01:00,16796.0,18,1,One-time
566278,2011-09-11 14:05:00,13614.0,17,2,Occasional
566279,2011-09-11 14:09:00,14432.0,48,6,Frequent
566281,2011-09-11 14:15:00,12748.0,137,79,Frequent
566282,2011-09-11 14:29:00,15782.0,21,3,Occasional
566283,2011-09-11 14:34:00,17838.0,27,2,Occasional
566284,2011-09-11 14:49:00,14825.0,7,5,Frequent
566285,2011-09-11 14:51:00,13611.0,40,1,One-time
566286,2011-09-11 14:58:00,14057.0,15,4,Frequent
566287,2011-09-11 15:11:00,17218.0,24,5,Frequent
566288,2011-09-11 15:18:00,12883.0,19,4,Frequent
566289,2011-09-11 15:20:00,15601.0,14,3,Occasional
566290,2011-09-11 15:24:00,14456.0,207,6,Frequent
566291,2011-09-11 15:31:00,12965.0,108,1,One-time
566292,2011-09-11 15:35:00,13381.0,23,2,Occasional
566293,2011-09-11 15:35:00,14533.0,16,5,Frequent
566294,2011-09-11 15:41:00,15533.0,33,3,Occasional
566295,2011-09-11 15:44:00,15547.0,39,6,Frequent
566296,2011-09-11 15:47:00,17841.0,49,43,Frequent
566297,2011-09-11 15:50:00,16794.0,29,6,Frequent
566298,2011-09-11 15:52:00,14030.0,21,2,Occasional
566299,2011-09-11 15:59:00,16871.0,14,2,Occasional
566300,2011-09-11 16:05:00,18215.0,13,1,One-time
566301,2011-09-11 16:06:00,16474.0,24,6,Frequent
566302,2011-09-11 16:09:00,16474.0,1,6,Frequent
566303,2011-09-12 08:24:00,12997.0,16,2,Occasional
566304,2011-09-12 09:03:00,18158.0,24,2,Occasional
566305,2011-09-12 09:26:00,14110.0,21,7,Frequent
566306,2011-09-12 09:36:00,13265.0,13,2,Occasional
566307,2011-09-12 09:37:00,14307.0,34,2,Occasional
566308,2011-09-12 09:38:00,15865.0,15,2,Occasional
566309,2011-09-12 09:38:00,14307.0,2,2,Occasional
566310,2011-09-12 09:39:00,15980.0,19,2,Occasional
566311,2011-09-12 09:41:00,15980.0,4,2,Occasional
566312,2011-09-12 09:43:00,16150.0,20,2,Occasional
566314,2011-09-12 09:57:00,15358.0,28,7,Frequent
566315,2011-09-12 10:01:00,15392.0,25,3,Occasional
566317,2011-09-12 10:19:00,13375.0,37,1,One-time
566318,2011-09-12 10:47:00,15971.0,4,5,Frequent
566319,2011-09-12 11:25:00,13431.0,36,2,Occasional
566320,2011-09-12 11:41:00,13983.0,17,4,Frequent
566321,2011-09-12 11:44:00,17961.0,1,8,Frequent
566322,2011-09-12 11:58:00,16209.0,5,1,One-time
566326,2011-09-12 12:11:00,16211.0,23,1,One-time
566328,2011-09-12 12:19:00,13743.0,4,2,Occasional
566329,2011-09-12 12:20:00,14527.0,18,15,Frequent
566334,2011-09-12 12:24:00,13798.0,5,15,Frequent
566345,2011-09-12 12:27:00,17685.0,56,2,Occasional
566361,2011-09-12 12:32:00,15253.0,3,4,Frequent
566364,2011-09-12 12:32:00,15253.0,23,4,Frequent
566393,2011-09-12 12:45:00,13269.0,17,7,Frequent
566394,2011-09-12 12:45:00,13650.0,17,4,Frequent
566395,2011-09-12 12:48:00,14952.0,12,4,Frequent
566396,2011-09-12 12:51:00,14292.0,18,5,Frequent
566397,2011-09-12 12:54:00,17811.0,30,15,Frequent
566398,2011-09-12 13:10:00,12884.0,7,1,One-time
566399,2011-09-12 13:11:00,16141.0,30,1,One-time
566400,2011-09-12 13:16:00,17139.0,92,5,Frequent
566402,2011-09-12 13:34:00,14997.0,12,2,Occasional
566403,2011-09-12 13:38:00,16985.0,7,3,Occasional
566405,2011-09-12 13:41:00,17919.0,23,1,One-time
566408,2011-09-12 13:43:00,16984.0,126,1,One-time
566420,2011-09-12 13:50:00,16360.0,32,6,Frequent
566421,2011-09-12 13:55:00,12924.0,15,1,One-time
566422,2011-09-12 13:56:00,13064.0,12,2,Occasional
566424,2011-09-12 14:15:00,13309.0,25,3,Occasional
566425,2011-09-12 14:22:00,16458.0,10,7,Frequent
566426,2011-09-12 14:23:00,17865.0,13,8,Frequent
566427,2011-09-12 14:24:00,17433.0,54,1,One-time
566428,2011-09-12 14:24:00,15932.0,18,2,Occasional
566429,2011-09-12 14:24:00,17865.0,1,8,Frequent
566430,2011-09-12 14:37:00,16475.0,1,1,One-time
566431,2011-09-12 14:39:00,18180.0,18,4,Frequent
566432,2011-09-12 14:40:00,13704.0,6,9,Frequent
566433,2011-09-12 14:54:00,16839.0,17,12,Frequent
566434,2011-09-12 15:01:00,17090.0,36,3,Occasional
566435,2011-09-12 15:04:00,13854.0,4,5,Frequent
566438,2011-09-12 15:14:00,15996.0,18,1,One-time
566439,2011-09-12 15:14:00,17656.0,3,2,Occasional
566440,2011-09-12 15:19:00,15755.0,21,3,Occasional
566441,2011-09-12 15:23:00,17719.0,18,3,Occasional
566442,2011-09-12 15:29:00,14732.0,19,3,Occasional
566443,2011-09-12 15:31:00,17071.0,18,3,Occasional
566444,2011-09-12 15:32:00,14020.0,18,2,Occasional
566447,2011-09-12 15:43:00,12989.0,4,7,Frequent
566448,2011-09-12 16:06:00,14897.0,7,3,Occasional
566450,2011-09-12 16:12:00,15673.0,38,1,One-time
566451,2011-09-12 16:14:00,18069.0,139,2,Occasional
566452,2011-09-12 16:14:00,14901.0,11,4,Frequent
566453,2011-09-12 16:23:00,17811.0,3,15,Frequent
566455,2011-09-12 16:45:00,14500.0,1,1,One-time
566465,2011-09-12 17:58:00,15764.0,2,1,One-time
566477,2011-09-13 09:03:00,14359.0,28,3,Occasional
566479,2011-09-13 09:07:00,13831.0,5,2,Occasional
566480,2011-09-13 09:17:00,16451.0,14,1,One-time
566481,2011-09-13 09:33:00,15769.0,3,7,Frequent
566482,2011-09-13 09:43:00,16609.0,67,2,Occasional
566483,2011-09-13 09:47:00,13880.0,17,5,Frequent
566484,2011-09-13 09:48:00,13880.0,12,5,Frequent
566485,2011-09-13 09:49:00,13880.0,9,5,Frequent
566486,2011-09-13 09:59:00,16098.0,13,1,One-time
566487,2011-09-13 10:03:00,16422.0,5,12,Frequent
566488,2011-09-13 10:16:00,12940.0,19,2,Occasional
566489,2011-09-13 10:17:00,16814.0,21,5,Frequent
566491,2011-09-13 10:25:00,14060.0,15,5,Frequent
566492,2011-09-13 10:34:00,12679.0,2,2,Occasional
566494,2011-09-13 11:12:00,17404.0,17,5,Frequent
566495,2011-09-13 11:14:00,15529.0,144,3,Occasional
566518,2011-09-13 11:24:00,17779.0,31,2,Occasional
566520,2011-09-13 11:26:00,17757.0,23,10,Frequent
566537,2011-09-13 11:34:00,13767.0,11,9,Frequent
566539,2011-09-13 11:34:00,17228.0,48,4,Frequent
566554,2011-09-13 11:39:00,13136.0,37,2,Occasional
566555,2011-09-13 11:41:00,15216.0,2,1,One-time
566556,2011-09-13 11:47:00,16353.0,1,9,Frequent
566557,2011-09-13 11:47:00,14646.0,57,31,Frequent
566558,2011-09-13 11:51:00,15311.0,30,26,Frequent
566559,2011-09-13 11:52:00,18044.0,23,3,Occasional
566560,2011-09-13 12:09:00,17092.0,26,2,Occasional
566561,2011-09-13 12:13:00,18145.0,72,2,Occasional
566562,2011-09-13 12:18:00,17365.0,98,3,Occasional
566563,2011-09-13 12:22:00,12909.0,20,2,Occasional
